Period,Revenue,Sales_quantity,Average_cost,The_average_annual_payroll_of_the_region
2019-01-01,0.5486877853043519,0.4931454901926961,0.2778501228014462,0.6077563536790874
2019-01-02,0.6059020282624552,0.6000000511341835,0.4000084877848247,0.5883655728446343
2019-01-03,0.6734096394127369,0.6970715457607557,0.35420837885030176,0.6000000413453062
2019-01-04,0.5354018186366443,0.507820089665069,0.24853935188957235,0.6038781975121968
2019-01-05,0.6057353970456412,0.6000000511341835,0.5568740318295018,0.6000000413453062
2019-01-06,0.6746049778837181,0.6863526358186768,0.5529055980598654,0.6000000413453062
2019-01-07,0.5370979213425822,0.5165611548420008,0.6818920414550276,0.6000000413453062
2019-01-08,0.6055687658288271,0.6000000511341835,1.0,0.6000000413453062
2019-01-09,0.6623762133826098,0.6942929037388431,0.6738940218804126,0.6000000413453062
2019-01-10,0.5545930167412757,0.5218018307805244,0.37922448888569615,0.6000000413453062
2019-01-11,0.6055687658288271,0.5677176355233251,0.3753631625199922,0.6000000413453062
2019-01-12,0.6777148282089056,0.7078214868546653,0.298770144888259,0.6000000413453062
2020-01-01,0.5228375468024852,0.49888861813752944,0.6626837834850474,0.6000000413453062
2020-01-02,0.6055687658288271,0.6000000511341835,0.4144813144051843,0.6000000413453062
2020-01-03,0.6609097712373824,0.685380827831456,0.2935672397139661,0.6000000413453062
2020-01-04,0.570110337883137,0.5278650051884116,0.5903414469027293,0.6000000413453062
2020-01-05,1.0,1.0,,0.9999999999999999
2020-01-06,0.41759451195264913,0.4240450920165326,,0.40000006201795935
2020-01-07,0.4068062810797477,0.40000007670127535,,0.40000006201795935
2020-01-08,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2020-01-09,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2020-01-10,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2020-01-11,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2020-01-12,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-01,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-02,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-03,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-04,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-05,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-06,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-07,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-08,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-09,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-10,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-11,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2021-01-12,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-01,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-02,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-03,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-04,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-05,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-06,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-07,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-08,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-09,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-10,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-11,0.6055687658288271,0.6000000511341835,,0.6000000413453062
2022-01-12,0.6055687658288271,0.6000000511341835,,0.6000000413453062
